k & n & n_spikes & algo(iter,time,MSE)
1 & 79/1.40/1.389e-05 & 125/2.13/1.107e-05 & 176/2.92/1.191e-05 \\
2 & 94/1.78/1.194e-05 & 165/3.14/2.280e-05 & 201/2.76/1.203e-05 \\
3 & 80/1.40/1.104e-05 & 111/1.94/1.152e-05 & 168/2.86/1.162e-05 \\
4 & 91/1.73/1.572e-05 & 148/2.84/2.405e-05 & 179/3.41/1.595e-05 \\
5 & 83/1.40/9.450e-06 & 126/2.19/9.109e-06 & 165/2.87/9.528e-06 \\
6 & 90/1.12/6.787e-06 & 126/1.48/5.989e-05 & 159/1.82/7.033e-06 \\
7 & 85/1.46/1.224e-05 & 116/2.03/1.633e-05 & 188/3.25/1.435e-05 \\
8 & 92/1.71/9.536e-06 & 128/2.37/9.508e-06 & 155/2.80/9.723e-06 \\
9 & 109/1.94/9.321e-06 & 128/2.28/9.181e-06 & 193/3.39/9.553e-06 \\
10 & 71/1.31/2.798e-05 & 77/1.42/1.016e-05 & 190/3.46/9.713e-06 \\
11 & 84/1.51/1.385e-05 & 132/2.33/9.426e-06 & 175/3.03/9.784e-06 \\
12 & 108/2.04/2.105e-05 & 153/2.89/3.561e-05 & 175/3.26/2.430e-05 \\
13 & 76/1.36/1.806e-05 & 126/2.26/1.147e-05 & 170/3.04/1.225e-05 \\
14 & 92/1.63/1.452e-05 & 139/2.48/1.183e-05 & 183/3.28/1.055e-05 \\
15 & 91/1.75/1.075e-05 & 85/1.58/1.046e-05 & 190/3.48/1.067e-05 \\
16 & 78/1.39/1.554e-05 & 135/2.45/2.334e-05 & 147/2.60/2.982e-05 \\
17 & 97/1.55/9.393e-06 & 134/1.52/1.021e-05 & 193/2.11/9.581e-06 \\
18 & 97/1.79/9.277e-06 & 176/3.22/1.124e-05 & 212/3.77/9.050e-06 \\
19 & 79/1.38/8.745e-06 & 151/2.62/1.600e-05 & 174/2.96/8.768e-06 \\
20 & 90/1.62/7.007e-06 & 155/2.79/8.775e-06 & 189/3.50/7.266e-06 \\
Average & 90/1.62/7.007e-06 & 155/2.79/8.775e-06 & 189/3.50/7.266e-06 \\
