k & n & n_spikes & algo(iter,time,MSE)
(256, 1024, 32) & 84.80/0.04/8.645e-06 & 134.70/0.04/1.065e-05 & 187.70/0.06/9.192e-06 \\
(384, 1536, 48) & 90.10/0.05/8.631e-06 & 145.60/0.07/9.401e-06 & 173.70/0.07/9.228e-06 \\
(512, 2048, 64) & 90.90/0.06/1.784e-05 & 147.60/0.09/2.279e-05 & 187.30/0.10/1.065e-05 \\
(640, 2560, 80) & 81.80/0.07/1.020e-05 & 132.10/0.11/3.705e-05 & 172.50/0.11/1.317e-05 \\
(768, 3072, 96) & 87.40/0.10/1.244e-05 & 141.70/0.15/1.887e-05 & 181.50/0.17/1.006e-05 \\
(896, 3584, 112) & 86.80/0.13/1.111e-05 & 134.30/0.18/1.289e-05 & 182.60/0.23/1.361e-05 \\
(1024, 4096, 128) & 86.30/0.19/1.016e-05 & 146.10/0.29/1.052e-05 & 182.30/0.35/1.239e-05 \\
(1152, 4608, 144) & 87.30/0.26/8.833e-06 & 145.20/0.39/9.990e-06 & 173.80/0.44/8.327e-06 \\
(1280, 5120, 160) & 79.90/0.38/1.132e-05 & 138.10/0.61/1.227e-05 & 175.20/0.75/1.130e-05 \\
(1408, 5632, 176) & 87.70/0.58/1.141e-05 & 123.40/0.78/1.090e-04 & 180.20/1.09/1.293e-05 \\
(1536, 6144, 192) & 88.10/0.77/1.129e-05 & 130.40/1.12/2.783e-05 & 188.90/1.59/1.081e-05 \\
(1664, 6656, 208) & 84.60/0.89/1.863e-05 & 135.70/1.41/1.177e-05 & 173.70/1.76/1.232e-05 \\
(1792, 7168, 224) & 88.20/1.13/1.343e-05 & 124.30/1.57/1.262e-05 & 166.40/2.08/1.191e-05 \\
(1920, 7680, 240) & 86.80/1.33/1.259e-05 & 131.70/1.99/2.270e-05 & 182.90/2.77/1.196e-05 \\
(2048, 8192, 256) & 82.10/1.57/1.169e-05 & 122.70/2.33/2.034e-05 & 174.30/3.21/1.328e-05 \\
(2176, 8704, 272) & 80.70/1.75/1.131e-05 & 123.00/2.66/1.286e-05 & 165.10/3.42/1.236e-05 \\
(2304, 9216, 288) & 80.80/2.07/1.595e-05 & 125.30/3.21/1.054e-04 & 174.50/4.40/1.203e-05 \\
(2432, 9728, 304) & 84.20/2.35/1.205e-05 & 135.90/3.76/1.410e-05 & 178.10/4.76/1.168e-05 \\
(2560, 10240, 320) & 85.30/2.68/1.196e-05 & 122.00/3.64/1.240e-05 & 181.90/5.19/1.108e-05 \\
